Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D371,LED,LED_0402_1005Metric,188.333085,-60.310585,-45,top
D372,LED,LED_0402_1005Metric,186.583085,-60.310585,-45,top
D373,LED,LED_0402_1005Metric,184.833085,-60.310585,-45,top
D374,LED,LED_0402_1005Metric,183.083085,-60.310585,-45,top
D375,LED,LED_0402_1005Metric,181.333085,-60.310585,-45,top
D376,LED,LED_0402_1005Metric,179.583085,-60.310585,-45,top
D377,LED,LED_0402_1005Metric,177.833085,-60.310585,-45,top
D378,LED,LED_0402_1005Metric,176.083085,-60.310585,-45,top
D379,LED,LED_0402_1005Metric,211.083085,-62.560585,-45,top
D380,LED,LED_0402_1005Metric,209.333085,-62.560585,-45,top
D381,LED,LED_0402_1005Metric,207.583085,-62.560585,-45,top
D382,LED,LED_0402_1005Metric,205.833085,-62.560585,-45,top
D383,LED,LED_0402_1005Metric,204.083085,-62.560585,-45,top
D384,LED,LED_0402_1005Metric,202.333085,-62.560585,-45,top
D385,LED,LED_0402_1005Metric,200.583085,-62.560585,-45,top
D386,LED,LED_0402_1005Metric,198.833085,-62.560585,-45,top
D387,LED,LED_0402_1005Metric,197.083085,-62.560585,-45,top
D388,LED,LED_0402_1005Metric,195.333085,-62.560585,-45,top
D389,LED,LED_0402_1005Metric,193.583085,-62.560585,-45,top
D390,LED,LED_0402_1005Metric,191.833085,-62.560585,-45,top
D391,LED,LED_0402_1005Metric,190.083085,-62.560585,-45,top
D392,LED,LED_0402_1005Metric,188.333085,-62.560585,-45,top
D393,LED,LED_0402_1005Metric,186.583085,-62.560585,-45,top
D394,LED,LED_0402_1005Metric,184.833085,-62.560585,-45,top
D395,LED,LED_0402_1005Metric,183.083085,-62.560585,-45,top
